year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Beacon Hill 33_11kV,01MAY2020,MW,8.70263,8.50152,8.15414,7.89818,8.64778,8.70263,8.28212,7.87990,7.77021,7.58738,7.16687,7.11202,7.09374,6.85606,6.85606,6.85606,6.85606,6.85606,6.85606,6.85606,7.25829,7.38627,7.87990,8.15414,8.72091,9.25111,10.00071,10.86000,11.29879,11.84728,12.23122,12.34091,12.63344,12.59687,12.56031,12.50546,12.39576,12.32263,12.19465,11.95697,12.01182,12.06667,11.88384,11.81071,11.93869,11.82899,11.68273,11.64617,11.53647,11.40849,11.93869,11.81071,11.26223,11.04283,11.18910,11.18910,11.13425,11.39021,11.35364,11.24394,11.51819,11.51819,11.71930,11.95697,12.19465,12.57859,12.83455,13.01738,13.23677,13.60243,14.04122,14.46172,14.38859,14.15091,14.18748,13.80354,13.25506,13.14536,12.92596,12.65172,12.41405,12.17637,12.46889,12.10324,11.90213,11.44506,11.26223,11.00627,10.98798,11.24394,10.96970,10.45778,10.51263,9.96415,9.67162,9.39738
2021,Beacon Hill 33_11kV,02MAY2020,MW,9.08657,8.73920,8.51980,8.30041,8.70263,8.75748,8.44667,8.08101,7.86162,7.60566,7.40455,7.34970,7.13031,7.11202,6.96576,6.94748,6.85606,6.85606,6.85606,6.76465,6.83778,6.89263,7.13031,7.13031,7.49596,7.71536,7.97132,8.28212,8.79404,8.95859,9.15970,9.34253,9.58021,9.63505,9.68990,9.83617,9.79960,9.83617,9.67162,9.70819,9.65334,9.50707,9.45223,9.28768,9.17798,9.06829,9.03172,8.92202,8.68435,8.68435,8.68435,8.68435,8.75748,8.75748,8.75748,8.64778,8.70263,8.70263,8.70263,8.77576,8.95859,9.10485,9.26940,9.58021,9.78132,10.22011,10.69546,11.09768,11.37192,12.13980,12.79798,13.27334,13.23677,12.98081,12.94425,12.65172,12.39576,12.19465,12.15809,11.84728,11.62788,11.33536,11.70101,11.39021,11.11596,10.82344,10.76859,10.45778,10.36637,10.91485,10.62233,10.05556,10.31152,9.87273,9.67162,9.36081
2021,Beacon Hill 33_11kV,03MAY2020,MW,9.01344,8.77576,8.41010,8.26384,8.79404,8.84889,8.51980,8.02616,7.93475,7.78849,7.55081,7.38627,7.20344,7.20344,7.16687,6.83778,6.83778,6.83778,6.94748,6.85606,6.96576,7.11202,7.11202,7.11202,7.38627,7.45940,7.77021,8.00788,8.30041,8.66606,8.95859,9.05000,9.17798,9.68990,9.63505,9.67162,9.67162,9.59849,9.50707,9.34253,9.28768,9.28768,9.15970,9.05000,8.86718,8.53808,8.37354,8.42839,8.35526,8.31869,8.31869,8.31869,8.31869,8.28212,8.17243,8.31869,8.33697,8.31869,8.41010,8.42839,8.68435,8.83061,8.88546,9.23283,9.41566,9.76303,10.14697,10.75031,11.09768,11.68273,12.37748,12.85283,12.92596,12.99910,12.87112,12.61516,12.35920,12.04839,11.90213,11.75586,11.51819,11.48162,11.81071,11.49990,11.04283,10.56748,10.29324,10.05556,10.00071,10.22011,10.01899,9.61677,9.87273,9.54364,9.36081,9.06829
2021,Beacon Hill 33_11kV,04MAY2020,MW,8.70263,8.48324,8.31869,8.04445,8.64778,8.62950,8.46495,8.19071,7.84334,7.67879,7.47768,7.33142,7.33142,7.20344,6.96576,6.96576,6.96576,6.96576,6.96576,7.16687,7.40455,7.73364,8.19071,8.83061,9.50707,9.76303,10.34808,11.22566,11.92041,12.56031,13.21849,13.56586,13.94980,13.80354,13.80354,13.71213,13.78526,13.47445,12.92596,12.63344,12.50546,12.13980,12.10324,12.06667,11.73758,11.57303,11.42677,11.39021,11.44506,11.81071,12.23122,11.73758,11.33536,11.33536,11.42677,11.26223,11.00627,11.13425,11.40849,11.40849,11.55475,11.44506,11.49990,11.77415,12.01182,12.21293,12.76142,13.30990,13.47445,14.05950,14.71768,14.95536,14.62627,14.62627,14.26061,13.71213,13.29162,13.07223,12.79798,12.45061,12.30435,12.10324,12.21293,11.93869,11.59132,11.17081,11.09768,10.47606,10.31152,10.67718,10.27495,9.68990,9.98243,9.63505,9.25111,9.25111
2021,Beacon Hill 33_11kV,05MAY2020,MW,8.92202,8.59293,8.48324,8.09930,8.79404,8.72091,8.46495,8.17243,7.75192,7.58738,7.34970,7.22172,7.07546,6.89263,6.81950,6.92919,6.92919,6.94748,6.91091,7.14859,7.24000,7.44111,8.08101,8.33697,9.05000,9.58021,10.43950,11.18910,11.86556,12.24950,12.92596,13.52930,14.02293,14.29718,13.84011,13.43788,13.38304,12.90768,12.77970,12.46889,12.32263,12.24950,12.24950,12.48718,12.39576,11.92041,12.45061,11.68273,11.77415,12.08495,12.32263,11.62788,12.06667,11.92041,11.29879,11.60960,11.71930,11.73758,11.93869,11.53647,11.64617,11.79243,11.77415,11.97526,11.92041,11.97526,12.26778,12.61516,12.81627,13.21849,13.94980,14.09607,13.82182,13.80354,13.67556,13.32819,12.83455,12.43233,12.21293,11.90213,11.79243,11.55475,11.90213,11.40849,11.15253,10.76859,10.54920,10.32980,10.12869,10.36637,10.34808,9.68990,9.94586,9.48879,9.26940,9.15970
2021,Beacon Hill 33_11kV,06MAY2020,MW,8.77576,8.55637,8.22728,8.13586,8.68435,8.57465,8.31869,8.02616,7.71536,7.69707,7.38627,7.33142,7.27657,6.94748,6.72808,6.72808,6.87435,6.87435,6.98404,7.09374,7.20344,7.42283,7.86162,8.28212,8.94031,9.43394,10.31152,10.84172,11.40849,12.04839,12.52374,12.77970,12.74314,12.76142,12.72485,12.61516,12.54203,12.41405,12.24950,11.93869,11.86556,11.64617,11.48162,11.37192,11.35364,11.13425,11.04283,10.89657,11.00627,10.96970,11.04283,10.96970,10.91485,10.78687,10.91485,10.95142,10.80516,10.84172,10.91485,11.20738,11.39021,11.60960,11.60960,11.55475,11.71930,11.90213,12.23122,12.50546,12.46889,12.72485,13.34647,13.51102,13.49273,13.25506,12.83455,12.48718,12.13980,12.12152,11.84728,11.51819,11.20738,10.95142,11.29879,10.93314,10.56748,10.38465,10.22011,9.92758,9.94586,10.09213,9.83617,9.41566,9.61677,9.21455,8.95859,8.75748
2021,Beacon Hill 33_11kV,07MAY2020,MW,8.62950,8.37354,7.95303,7.77021,8.28212,8.35526,8.02616,7.75192,7.47768,7.33142,7.09374,6.89263,6.89263,6.89263,6.65495,6.54526,6.80121,6.83778,6.83778,6.83778,6.98404,7.36798,7.77021,7.95303,8.51980,9.05000,9.78132,10.42122,10.96970,11.62788,12.17637,12.72485,12.85283,12.83455,13.07223,13.07223,13.18192,12.98081,12.98081,12.81627,12.54203,12.39576,12.28607,12.24950,11.95697,11.64617,11.60960,11.51819,11.73758,11.71930,11.71930,11.64617,11.62788,11.64617,11.66445,11.29879,11.53647,11.51819,11.75586,11.90213,11.59132,11.46334,11.48162,11.88384,12.13980,12.34091,12.30435,12.59687,12.52374,12.52374,13.16364,12.99910,13.03566,12.87112,12.68829,12.41405,12.04839,11.70101,11.42677,11.07940,10.73202,10.65889,11.09768,10.82344,10.34808,10.05556,10.00071,9.63505,9.70819,10.01899,9.81788,9.26940,9.50707,9.25111,9.03172,8.72091
2021,Beacon Hill 33_11kV,08MAY2020,MW,8.62950,8.24556,7.98960,7.78849,8.33697,8.33697,8.13586,7.73364,7.60566,7.36798,7.13031,7.11202,6.89263,6.67323,6.63667,6.63667,6.63667,6.63667,6.63667,6.63667,7.14859,7.25829,7.60566,7.91647,8.35526,8.83061,9.37909,10.03728,10.58576,10.80516,11.18910,11.46334,11.66445,11.70101,11.86556,11.88384,12.15809,11.75586,11.59132,11.49990,11.26223,11.18910,11.37192,11.17081,11.15253,10.89657,10.87829,10.76859,10.60404,10.86000,10.84172,10.67718,10.87829,10.82344,10.87829,10.96970,10.87829,10.87829,11.06112,11.17081,11.17081,11.17081,11.26223,11.42677,11.53647,11.68273,11.68273,11.71930,11.57303,11.79243,12.17637,12.15809,12.04839,11.79243,11.73758,11.46334,11.15253,10.93314,10.71374,10.42122,10.16526,9.78132,10.22011,9.89101,9.52536,9.41566,9.15970,9.12313,8.97687,9.47051,9.36081,8.92202,9.23283,8.79404,8.55637,8.33697
2021,Beacon Hill 33_11kV,09MAY2020,MW,8.11758,7.87990,7.69707,7.29485,8.08101,8.26384,7.93475,7.62394,7.42283,7.07546,6.91091,6.91091,6.67323,6.61839,6.39899,6.39899,6.39899,6.39899,6.39899,6.39899,6.39899,6.47212,6.70980,6.70980,6.87435,7.05717,7.31313,7.58738,7.60566,8.09930,8.44667,8.90374,9.12313,8.81233,8.88546,8.64778,8.81233,8.92202,9.01344,8.84889,8.90374,9.28768,9.01344,9.61677,9.19627,8.90374,8.31869,8.92202,8.24556,8.17243,8.31869,8.41010,8.62950,8.99516,8.66606,8.39182,8.64778,8.81233,8.62950,8.61122,8.64778,8.73920,8.64778,8.72091,9.05000,9.23283,9.36081,9.70819,9.68990,10.22011,10.76859,10.95142,10.95142,10.86000,10.60404,10.49435,10.25667,10.18354,10.03728,9.76303,9.45223,9.39738,9.78132,9.52536,9.25111,9.01344,8.95859,8.81233,8.90374,9.26940,9.17798,8.68435,9.14142,8.77576,8.51980,8.33697
2021,Beacon Hill 33_11kV,10MAY2020,MW,8.13586,7.86162,7.67879,7.44111,7.95303,7.98960,7.78849,7.51425,7.14859,7.00233,6.81950,6.76465,6.76465,6.56354,6.39899,6.39899,6.39899,6.39899,6.39899,6.39899,6.39899,6.45384,6.70980,6.70980,6.96576,7.00233,7.34970,7.62394,7.87990,8.09930,8.33697,8.64778,9.01344,9.25111,9.32425,9.19627,9.34253,9.37909,9.34253,9.10485,9.05000,8.84889,8.86718,8.79404,8.53808,8.59293,8.26384,8.26384,8.26384,8.15414,7.98960,8.09930,8.08101,8.08101,8.08101,8.08101,8.00788,8.11758,8.26384,8.48324,8.53808,8.53808,8.77576,9.01344,9.30596,9.65334,9.98243,10.62233,10.91485,11.57303,12.04839,12.34091,12.35920,12.37748,12.32263,12.17637,11.99354,11.90213,11.66445,11.57303,11.29879,11.29879,11.73758,11.28051,11.17081,10.80516,10.51263,10.12869,10.12869,10.36637,10.09213,9.65334,9.74475,9.43394,9.19627,9.06829
2021,Beacon Hill 33_11kV,11MAY2020,MW,8.81233,8.42839,8.24556,8.00788,8.59293,8.70263,8.50152,8.15414,7.82505,7.56909,7.33142,7.33142,7.33142,7.13031,7.09374,7.09374,7.09374,7.09374,7.09374,7.09374,7.38627,7.67879,8.31869,8.95859,9.59849,10.20182,10.95142,11.84728,12.76142,13.40132,13.85839,14.26061,14.62627,14.53485,14.16920,14.16920,14.11435,13.84011,13.58415,13.16364,12.98081,12.94425,12.52374,12.37748,12.24950,12.06667,12.04839,11.90213,11.81071,11.92041,11.68273,11.59132,11.53647,11.51819,11.46334,11.28051,11.24394,11.33536,11.35364,11.33536,11.44506,11.62788,11.88384,12.08495,12.28607,12.46889,13.01738,13.63900,13.89495,14.40687,14.69940,15.08334,15.01021,14.69940,14.75425,14.35203,13.87667,13.65728,13.51102,13.23677,12.88940,12.61516,12.65172,12.17637,11.92041,11.57303,11.37192,10.89657,10.93314,11.02455,10.73202,10.16526,10.36637,9.78132,9.52536,9.37909
2021,Beacon Hill 33_11kV,12MAY2020,MW,9.10485,8.86718,8.61122,8.33697,8.92202,8.79404,8.50152,8.22728,7.97132,7.75192,7.62394,7.49596,7.49596,7.25829,7.14859,7.14859,7.14859,7.14859,7.14859,7.14859,7.58738,7.78849,8.41010,8.86718,9.43394,10.16526,11.07940,12.23122,13.01738,13.65728,14.15091,14.40687,14.40687,14.29718,14.22405,14.05950,13.87667,13.58415,13.36475,13.25506,13.05394,12.61516,12.43233,12.06667,11.84728,11.92041,12.21293,11.88384,11.62788,11.62788,11.73758,11.70101,11.71930,11.66445,11.40849,11.33536,11.37192,11.35364,11.64617,11.55475,11.51819,11.71930,11.77415,11.99354,12.12152,12.46889,12.83455,13.10879,13.51102,14.07778,14.49829,14.75425,14.48001,14.24233,14.13263,13.91324,13.47445,13.18192,12.67001,12.48718,12.30435,11.97526,12.35920,11.90213,11.57303,11.09768,10.93314,10.51263,10.60404,10.80516,10.34808,9.87273,10.11041,9.70819,9.52536,9.26940
2021,Beacon Hill 33_11kV,13MAY2020,MW,8.97687,8.75748,8.41010,8.26384,8.86718,8.77576,8.50152,8.09930,8.04445,7.80677,7.56909,7.34970,7.27657,7.22172,6.98404,6.98404,6.98404,6.98404,7.16687,7.29485,7.38627,7.66051,8.22728,8.75748,9.45223,10.12869,10.73202,11.73758,12.50546,13.10879,13.74869,13.85839,13.10879,12.98081,13.05394,13.09051,12.50546,11.99354,11.79243,12.08495,11.68273,11.55475,11.59132,11.55475,10.80516,11.44506,11.06112,10.76859,11.70101,11.97526,11.37192,11.60960,11.79243,11.70101,11.68273,11.13425,11.46334,11.26223,11.66445,11.46334,11.26223,11.49990,11.71930,12.13980,12.23122,12.56031,12.74314,13.36475,13.60243,14.02293,14.79081,14.86395,14.62627,14.55314,14.42516,14.15091,13.54758,13.27334,12.96253,12.52374,12.24950,12.15809,12.52374,12.08495,11.81071,11.37192,11.15253,10.76859,10.71374,10.84172,10.51263,9.94586,10.12869,9.61677,9.45223,9.14142
2021,Beacon Hill 33_11kV,14MAY2020,MW,8.94031,8.72091,8.48324,8.20899,8.73920,8.84889,8.59293,8.09930,8.02616,7.58738,7.42283,7.42283,7.42283,7.25829,7.16687,7.16687,7.16687,7.16687,7.16687,7.16687,7.40455,7.58738,8.11758,8.62950,9.32425,10.05556,10.76859,11.57303,12.41405,12.94425,13.63900,14.35203,14.68112,14.86395,15.02849,14.99193,15.19304,15.17475,15.21132,14.90051,14.80910,15.32102,15.90607,15.96092,15.68667,15.26617,15.28445,15.28445,15.35758,15.72324,15.75980,15.39415,15.26617,14.46172,13.78526,13.80354,13.78526,13.18192,13.41960,13.94980,13.93152,14.09607,13.96809,14.07778,14.11435,14.60799,14.48001,14.88223,15.10162,15.68667,16.05233,15.88778,15.57698,15.54041,15.33930,15.01021,14.55314,14.16920,13.56586,13.30990,13.10879,12.90768,13.12708,12.57859,12.21293,11.90213,11.62788,11.33536,11.17081,11.33536,10.95142,10.32980,10.49435,9.94586,9.59849,9.41566
2021,Beacon Hill 33_11kV,15MAY2020,MW,9.32425,8.83061,8.51980,8.30041,8.95859,8.97687,8.62950,8.33697,7.98960,7.95303,7.62394,7.42283,7.27657,7.13031,7.13031,7.13031,7.13031,7.13031,7.22172,7.27657,7.53253,7.78849,8.30041,8.79404,9.52536,10.29324,11.04283,11.95697,12.52374,13.51102,14.05950,14.24233,14.33374,14.55314,15.13819,15.39415,15.39415,15.32102,15.17475,15.11990,15.11990,15.21132,15.17475,14.93708,14.69940,14.44344,14.99193,14.68112,13.96809,14.02293,14.20576,14.20576,14.27889,14.42516,14.49829,14.79081,13.96809,13.84011,13.87667,13.71213,13.80354,13.96809,14.15091,13.91324,14.15091,14.93708,15.17475,15.24788,15.37586,15.72324,15.94263,15.90607,15.41243,15.26617,15.11990,14.73597,14.29718,14.09607,13.82182,13.38304,12.94425,12.76142,13.14536,12.72485,12.32263,12.04839,11.75586,11.42677,11.22566,11.49990,11.15253,10.58576,10.73202,10.09213,9.90930,9.61677
2021,Beacon Hill 33_11kV,16MAY2020,MW,9.21455,8.94031,8.62950,8.42839,8.99516,9.01344,8.59293,8.31869,8.00788,7.75192,7.55081,7.49596,7.49596,7.18515,7.14859,7.14859,7.14859,7.14859,7.13031,6.98404,7.11202,7.11202,7.31313,7.40455,7.78849,8.00788,8.15414,8.55637,8.86718,9.19627,9.72647,9.89101,10.11041,10.18354,10.18354,10.09213,10.87829,10.32980,9.90930,9.79960,9.67162,9.56192,9.92758,10.12869,10.65889,10.67718,10.67718,10.65889,10.36637,10.11041,10.18354,10.20182,9.92758,9.67162,9.68990,9.70819,9.79960,9.65334,9.85445,9.85445,9.85445,10.05556,10.14697,10.27495,10.69546,10.82344,11.18910,11.73758,12.06667,12.59687,13.01738,13.30990,13.25506,13.25506,13.12708,12.94425,12.61516,12.54203,12.15809,12.06667,11.70101,11.60960,12.06667,11.64617,11.31708,11.06112,10.82344,10.49435,10.54920,10.84172,10.69546,10.34808,10.40293,10.09213,9.83617,9.48879
2021,Beacon Hill 33_11kV,17MAY2020,MW,9.19627,8.94031,8.77576,8.55637,8.99516,8.77576,8.53808,8.22728,7.87990,7.66051,7.60566,7.31313,7.31313,7.09374,7.05717,7.05717,7.05717,6.94748,6.96576,6.83778,6.83778,6.85606,7.07546,7.07546,7.36798,7.66051,7.97132,8.24556,8.53808,8.75748,9.19627,9.34253,9.59849,9.94586,9.76303,9.61677,9.68990,9.96415,9.76303,9.56192,9.41566,9.37909,9.19627,8.92202,8.75748,8.53808,8.53808,8.50152,8.53808,8.64778,8.73920,8.83061,8.95859,9.34253,9.05000,8.64778,9.08657,9.06829,9.23283,9.17798,9.01344,9.05000,9.36081,9.48879,9.70819,10.09213,10.42122,11.15253,11.60960,12.24950,12.92596,13.12708,13.09051,12.98081,12.88940,12.70657,12.46889,12.19465,11.92041,11.66445,11.55475,11.33536,11.82899,11.51819,11.06112,10.75031,10.49435,10.12869,10.09213,10.43950,10.23839,9.72647,9.94586,9.52536,9.21455,9.08657
2021,Beacon Hill 33_11kV,18MAY2020,MW,8.92202,8.64778,8.37354,8.22728,8.68435,8.81233,8.48324,8.22728,7.93475,7.73364,7.47768,7.38627,7.18515,7.00233,6.98404,6.94748,6.94748,6.94748,6.94748,7.25829,7.33142,7.56909,8.19071,8.97687,9.39738,9.79960,10.53091,11.51819,12.12152,12.74314,13.45617,13.76698,13.96809,13.74869,13.58415,13.38304,13.40132,13.38304,13.09051,12.90768,12.76142,12.81627,12.85283,11.88384,11.88384,11.82899,11.81071,12.15809,12.45061,12.19465,12.59687,12.87112,12.96253,12.99910,12.87112,12.23122,12.37748,12.67001,12.63344,12.17637,11.99354,12.28607,12.54203,12.77970,13.03566,13.34647,13.58415,13.93152,14.09607,14.49829,14.79081,14.99193,14.68112,14.40687,14.29718,13.87667,13.40132,13.01738,12.83455,12.61516,12.19465,11.92041,12.26778,12.03011,11.59132,11.17081,11.09768,10.56748,10.49435,10.71374,10.42122,10.07384,10.07384,9.65334,9.48879,9.25111
2021,Beacon Hill 33_11kV,19MAY2020,MW,8.90374,8.64778,8.46495,8.15414,8.77576,8.72091,8.46495,8.17243,7.98960,7.75192,7.53253,7.40455,7.27657,7.27657,7.22172,6.91091,6.91091,6.91091,6.91091,6.94748,7.24000,7.51425,8.09930,8.37354,9.08657,9.72647,10.51263,11.22566,11.73758,12.52374,12.76142,12.99910,13.03566,13.12708,12.92596,12.90768,12.85283,12.57859,12.43233,12.17637,12.06667,11.90213,11.93869,11.53647,11.59132,11.40849,11.22566,11.29879,11.09768,11.35364,11.62788,11.33536,11.39021,11.31708,11.39021,11.31708,11.20738,11.46334,11.60960,11.70101,11.79243,11.92041,12.06667,12.10324,12.17637,12.48718,12.83455,13.38304,13.45617,13.85839,14.24233,14.15091,14.11435,14.16920,13.89495,13.51102,12.99910,12.72485,12.41405,12.23122,11.88384,11.75586,12.17637,11.66445,11.39021,10.87829,10.76859,10.45778,10.32980,10.58576,10.36637,9.85445,10.03728,9.59849,9.41566,9.12313
2021,Beacon Hill 33_11kV,20MAY2020,MW,8.88546,8.53808,8.28212,8.15414,8.64778,8.68435,8.48324,8.15414,7.91647,7.77021,7.51425,7.45940,7.14859,7.11202,6.85606,6.85606,6.85606,7.11202,7.14859,7.14859,7.31313,7.56909,8.19071,8.41010,9.17798,9.74475,10.45778,11.24394,11.75586,12.26778,12.67001,12.88940,13.09051,13.01738,12.94425,13.20021,13.10879,12.92596,12.63344,12.46889,12.04839,11.93869,11.55475,11.39021,10.93314,10.95142,10.75031,11.04283,11.04283,11.13425,11.33536,11.07940,10.96970,11.00627,11.09768,11.44506,11.55475,11.66445,11.57303,11.44506,11.18910,11.39021,11.40849,11.31708,11.40849,11.59132,11.97526,12.12152,12.32263,12.74314,13.63900,13.80354,13.62071,13.54758,13.20021,12.77970,12.46889,12.01182,11.88384,11.57303,11.26223,11.09768,11.42677,10.93314,10.53091,10.42122,10.18354,9.85445,9.79960,10.11041,10.01899,9.47051,9.59849,9.28768,9.15970,8.75748
2021,Beacon Hill 33_11kV,21MAY2020,MW,8.48324,8.33697,8.04445,7.84334,8.61122,8.57465,8.26384,7.87990,7.56909,7.40455,7.22172,7.05717,6.89263,6.89263,6.89263,6.89263,6.69152,6.81950,6.89263,6.89263,7.07546,7.13031,7.69707,8.00788,8.46495,9.03172,9.68990,10.53091,11.13425,11.60960,12.08495,12.37748,12.67001,12.98081,12.74314,12.70657,12.96253,12.96253,12.94425,12.94425,12.94425,13.12708,12.96253,13.03566,12.88940,12.92596,13.18192,13.49273,13.49273,13.71213,13.71213,13.56586,13.43788,13.41960,13.16364,12.88940,12.70657,12.54203,12.72485,12.34091,12.21293,12.45061,12.21293,12.26778,12.26778,12.41405,12.87112,13.29162,13.56586,14.26061,14.57142,14.58970,14.37031,14.31546,14.13263,13.84011,13.34647,12.99910,12.76142,12.65172,12.48718,12.28607,12.70657,12.32263,12.12152,11.84728,11.62788,11.22566,11.24394,11.48162,11.20738,10.60404,10.71374,10.38465,10.07384,9.81788
2021,Beacon Hill 33_11kV,22MAY2020,MW,9.63505,9.25111,8.92202,8.73920,9.32425,9.19627,9.01344,8.59293,8.31869,8.24556,8.04445,7.91647,7.64223,7.64223,7.64223,7.64223,7.64223,7.49596,7.66051,7.60566,7.89818,8.28212,8.81233,9.01344,9.74475,10.25667,11.31708,12.45061,13.18192,13.89495,14.66283,15.22960,15.70496,16.39970,16.27172,16.34485,16.43627,16.18031,15.94263,15.90607,15.28445,15.28445,15.01021,14.71768,14.77253,14.79081,14.95536,15.28445,15.46728,15.61354,15.43071,15.24788,15.11990,14.99193,15.10162,15.15647,15.13819,15.17475,15.24788,15.17475,15.10162,14.99193,14.99193,15.28445,15.30273,15.48556,15.68667,16.21688,16.03405,16.34485,16.36314,16.38142,15.77809,15.61354,15.37586,15.02849,14.62627,14.35203,14.07778,13.74869,13.47445,13.32819,13.43788,13.07223,12.90768,12.61516,12.43233,11.92041,11.77415,11.93869,11.68273,11.15253,11.17081,10.73202,10.49435,10.16526
2021,Beacon Hill 33_11kV,23MAY2020,MW,9.90930,9.45223,9.15970,8.81233,9.61677,9.41566,8.99516,8.72091,8.44667,8.17243,8.08101,7.82505,7.62394,7.56909,7.56909,7.34970,7.29485,7.33142,7.24000,7.24000,7.24000,7.44111,7.49596,7.66051,7.75192,8.15414,8.55637,8.86718,9.21455,9.65334,9.92758,9.98243,10.40293,10.58576,10.54920,10.54920,10.69546,10.95142,10.65889,10.43950,10.27495,9.92758,9.92758,10.43950,10.64061,10.43950,10.40293,10.56748,10.43950,10.67718,10.82344,10.64061,10.78687,11.00627,11.04283,10.95142,10.76859,10.80516,10.76859,10.91485,11.00627,11.09768,11.37192,11.59132,11.95697,12.23122,12.68829,13.07223,13.36475,13.56586,13.91324,14.37031,14.26061,14.13263,13.94980,13.73041,13.58415,13.23677,12.90768,12.57859,12.57859,12.37748,12.59687,12.26778,11.81071,11.59132,11.20738,11.00627,10.98798,11.39021,11.02455,10.40293,10.54920,10.11041,9.81788,9.47051
2021,Beacon Hill 33_11kV,24MAY2020,MW,9.19627,8.86718,8.83061,8.64778,9.21455,9.06829,8.81233,8.55637,8.20899,8.20899,7.89818,7.64223,7.60566,7.25829,7.25829,7.25829,7.20344,6.94748,6.94748,6.94748,6.94748,7.03889,7.22172,7.36798,7.62394,7.78849,8.09930,8.28212,8.46495,8.86718,9.14142,9.41566,9.74475,10.22011,10.40293,10.56748,10.78687,10.76859,10.82344,11.00627,10.93314,10.87829,10.86000,10.71374,10.80516,10.86000,10.86000,10.56748,10.75031,10.76859,10.31152,10.49435,10.58576,10.84172,10.71374,10.93314,10.91485,10.80516,11.09768,11.02455,11.31708,11.57303,11.70101,11.86556,12.08495,12.46889,12.81627,13.25506,13.65728,14.38859,14.71768,14.71768,14.71768,14.66283,14.44344,14.18748,13.78526,13.34647,13.27334,12.81627,12.52374,12.52374,12.92596,12.45061,12.01182,11.71930,11.55475,10.95142,10.96970,11.11596,10.93314,10.49435,10.67718,10.05556,9.74475,9.48879
2021,Beacon Hill 33_11kV,25MAY2020,MW,9.23283,9.03172,8.72091,8.39182,8.99516,8.95859,8.77576,8.42839,8.09930,8.02616,7.82505,7.67879,7.56909,7.33142,7.31313,7.09374,7.14859,7.05717,7.22172,7.33142,7.56909,7.69707,8.46495,9.12313,9.47051,10.00071,10.98798,12.04839,12.99910,13.84011,14.60799,15.01021,15.35758,15.68667,15.65011,15.43071,15.46728,15.57698,15.70496,15.61354,15.08334,14.93708,14.60799,15.17475,14.80910,15.41243,15.41243,15.44900,15.70496,15.61354,15.55869,15.88778,16.12546,16.07061,15.86950,15.55869,15.44900,15.46728,15.50384,15.10162,15.13819,15.55869,15.99748,16.21688,16.49112,16.67395,17.16758,17.69778,17.46011,17.69778,17.97203,17.95374,17.18587,16.83849,16.41799,15.83294,15.32102,15.11990,14.69940,14.27889,13.89495,13.49273,13.62071,13.23677,12.81627,12.56031,12.39576,11.90213,11.57303,11.66445,11.20738,10.67718,10.84172,10.42122,10.22011,9.98243
2021,Beacon Hill 33_11kV,26MAY2020,MW,9.58021,9.30596,8.99516,8.68435,9.19627,9.17798,8.90374,8.55637,8.17243,8.15414,8.00788,7.71536,7.64223,7.64223,7.53253,7.29485,7.29485,7.42283,7.55081,7.55081,7.78849,8.08101,8.53808,8.95859,9.59849,10.16526,11.33536,12.19465,12.90768,13.84011,14.37031,14.93708,15.13819,15.04677,15.01021,14.99193,14.79081,15.26617,15.39415,15.55869,15.39415,14.86395,14.49829,14.02293,13.80354,13.29162,12.72485,12.83455,12.94425,13.01738,12.92596,12.19465,12.17637,12.32263,12.24950,12.01182,12.01182,12.23122,12.35920,12.15809,12.23122,12.54203,12.92596,13.20021,13.23677,13.71213,14.27889,14.58970,14.99193,15.50384,15.74152,15.86950,15.50384,15.10162,14.82738,14.55314,13.94980,13.60243,13.32819,12.90768,12.74314,12.46889,12.70657,12.21293,12.08495,11.81071,11.51819,11.09768,11.09768,11.26223,10.86000,10.27495,10.53091,10.11041,9.83617,9.59849
