year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Sans Souci 33_11kV,01MAY2020,MW,5.77864,5.60717,5.38425,5.36711,5.05845,4.71551,4.61262,4.23538,4.23538,3.85814,3.82385,3.82385,3.82385,3.82385,3.70382,3.41231,3.41231,3.41231,3.41231,3.41231,3.70382,3.82385,3.82385,4.16679,4.23538,4.45830,4.78410,4.88698,5.31566,5.33281,5.64146,5.76149,5.96726,5.96726,5.96726,5.76149,5.67576,5.67576,5.67576,5.62432,5.26422,5.26422,5.26422,5.26422,5.26422,5.04131,5.04131,5.07560,5.07560,5.10990,5.05845,4.90413,5.17849,5.14419,4.90413,4.64692,4.76695,5.16134,5.05845,5.16134,5.36711,5.48714,5.71005,5.71005,5.93297,6.36165,6.53312,6.87607,7.51052,7.92205,8.48791,8.93374,9.01948,9.01948,9.01948,9.01948,9.01948,8.79657,8.67654,8.67654,8.36788,8.43647,8.59080,8.23071,8.21356,7.85346,7.81917,7.57911,7.52767,7.69914,7.39049,7.28760,7.06469,6.56742,6.39594,6.34450
2021,Sans Souci 33_11kV,02MAY2020,MW,6.25877,6.12159,5.84723,5.84723,5.60717,5.29852,5.05845,4.66407,4.33827,4.23538,3.94388,3.82385,3.82385,3.82385,3.48090,3.41231,3.41231,3.41231,3.41231,3.41231,3.49805,3.82385,3.82385,3.82385,3.82385,4.01247,4.23538,4.40686,4.64692,4.86983,5.10990,5.10990,5.12704,5.43570,5.43570,5.52143,6.12159,5.96726,6.25877,5.96726,6.12159,5.88152,5.88152,5.60717,5.53858,5.53858,5.53858,5.53858,5.52143,5.50428,5.52143,5.45284,5.21278,5.21278,5.21278,5.21278,5.21278,5.45284,5.45284,5.45284,5.45284,5.59002,5.76149,5.77864,6.00156,6.20732,6.49883,6.99610,7.44193,7.99064,8.59080,8.96804,9.22525,9.22525,9.05378,8.93374,8.93374,8.84801,8.53936,8.41933,8.24785,8.24785,8.24785,8.23071,7.95635,7.87061,7.73343,7.52767,7.40763,7.57911,7.57911,7.25331,6.79033,6.41309,6.56742,6.68745
2021,Sans Souci 33_11kV,03MAY2020,MW,6.68745,6.39594,6.31021,6.10444,5.89867,5.34996,5.09275,4.81839,4.69836,4.40686,4.23538,3.99532,3.99532,3.99532,3.73811,3.58379,3.58379,3.58379,3.58379,3.58379,3.78955,3.99532,3.99532,3.99532,3.99532,3.99532,4.06391,4.40686,4.42400,4.81839,5.00701,5.22993,5.48714,5.64146,5.83008,6.05300,6.27591,6.10444,6.01870,6.01870,6.01870,6.01870,5.72720,5.84723,5.71005,5.76149,5.48714,5.48714,5.48714,5.48714,5.50428,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.36711,5.62432,5.93297,6.27591,6.48168,6.82463,7.08184,7.66484,8.31644,8.71083,9.00233,9.03663,9.03663,9.03663,8.76227,8.69368,8.33359,7.93920,7.92205,8.12782,8.24785,7.93920,7.87061,7.51052,7.49337,7.09898,7.25331,7.52767,6.85892,6.63601,6.56742,6.15588,6.17303,6.25877
2021,Sans Souci 33_11kV,04MAY2020,MW,5.95011,5.95011,5.72720,5.62432,5.46999,5.07560,4.80124,4.45830,4.25253,4.25253,4.14965,3.84100,3.84100,3.84100,3.84100,3.60093,3.42946,3.42946,3.42946,3.63523,3.84100,3.84100,3.84100,3.90959,4.54404,4.66407,5.02416,5.45284,5.48714,5.65861,5.88152,6.08729,6.27591,6.53312,6.32735,6.19018,6.19018,6.03585,5.93297,5.69290,5.52143,5.46999,5.22993,5.14419,5.14419,5.14419,5.14419,5.14419,5.04131,4.76695,4.83554,4.98987,4.92128,5.09275,5.09275,5.09275,5.12704,5.33281,5.21278,5.28137,5.28137,5.28137,5.28137,5.55573,6.01870,6.36165,6.77318,7.32190,7.92205,8.47077,9.05378,9.68823,9.82540,9.80826,9.65393,9.65393,9.63678,9.27669,9.27669,8.89945,8.86516,8.57365,8.57365,8.33359,8.14497,8.12782,7.75058,7.35619,7.42478,7.35619,6.82463,6.77318,6.36165,5.81294,5.98441,6.10444
2021,Sans Souci 33_11kV,05MAY2020,MW,5.79579,5.79579,5.72720,5.46999,5.34996,5.04131,4.81839,4.52689,4.32112,4.01247,4.01247,4.01247,4.01247,3.65238,3.60093,3.60093,3.60093,3.60093,3.60093,3.60093,3.60093,3.80670,3.92673,3.92673,4.18394,4.38971,4.74980,5.07560,5.29852,5.48714,5.57287,5.81294,5.81294,6.08729,6.13873,6.10444,5.96726,5.74435,5.38425,5.33281,5.05845,5.00701,5.12704,4.88698,4.97272,4.90413,4.80124,4.69836,4.69836,4.69836,5.10990,5.10990,4.83554,4.69836,4.90413,4.86983,4.69836,4.69836,4.69836,4.69836,4.88698,5.02416,5.12704,5.24707,5.55573,5.83008,5.98441,6.17303,6.75604,7.40763,8.00779,8.40218,8.77942,8.81371,8.83086,8.88230,8.59080,8.38503,8.17926,8.17926,8.14497,7.93920,7.93920,7.73343,7.45908,7.20187,7.16757,6.87607,6.87607,6.87607,6.60171,6.49883,6.20732,5.71005,5.81294,6.00156
2021,Sans Souci 33_11kV,06MAY2020,MW,5.74435,5.59002,5.59002,5.46999,5.21278,4.90413,4.59548,4.59548,4.20109,4.09821,3.78955,3.78955,3.78955,3.78955,3.78955,3.78955,3.44661,3.37802,3.37802,3.37802,3.51520,3.82385,4.11535,4.11535,4.18394,4.64692,4.95557,5.28137,5.38425,5.64146,5.64146,5.86438,6.05300,6.05300,6.05300,6.05300,5.77864,5.65861,5.50428,5.34996,5.34996,5.07560,4.93842,4.64692,4.97272,4.71551,4.86983,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.66407,4.81839,4.88698,5.05845,5.45284,5.60717,6.03585,6.48168,6.67030,7.33905,7.92205,8.19641,8.48791,8.59080,8.45362,8.26500,8.26500,8.26500,7.95635,7.87061,7.83632,7.87061,7.61340,7.39049,7.20187,7.20187,7.09898,6.68745,6.70460,7.04754,6.72174,6.36165,6.17303,5.76149,5.53858,5.53858
2021,Sans Souci 33_11kV,07MAY2020,MW,5.53858,5.53858,5.17849,5.12704,5.12704,4.78410,4.35541,4.33827,3.97817,3.92673,3.84100,3.51520,3.51520,3.51520,3.51520,3.51520,3.51520,3.51520,3.51520,3.51520,3.70382,3.92673,3.92673,3.97817,4.33827,4.42400,4.78410,5.05845,5.31566,5.55573,5.72720,5.96726,6.34450,6.37880,6.37880,6.37880,6.19018,6.05300,5.98441,5.64146,5.64146,5.64146,5.64146,5.50428,5.41855,5.40140,5.00701,5.00701,5.00701,5.12704,4.95557,5.22993,4.90413,4.83554,4.69836,4.68121,4.80124,4.80124,4.80124,4.80124,4.80124,4.95557,5.10990,5.24707,5.46999,5.81294,5.98441,6.67030,6.94466,7.27046,7.64770,8.02494,8.04209,8.43647,8.43647,8.11067,7.85346,7.73343,7.45908,7.27046,7.03039,7.18472,7.15043,7.16757,6.82463,6.75604,6.68745,6.46453,6.55027,6.56742,6.44739,6.08729,5.83008,5.43570,5.62432,5.65861
2021,Sans Souci 33_11kV,08MAY2020,MW,5.33281,5.29852,5.07560,5.07560,5.07560,4.73266,4.38971,4.28683,3.99532,3.99532,3.58379,3.58379,3.58379,3.58379,3.20655,3.17225,3.17225,3.17225,3.17225,3.37802,3.58379,3.58379,3.58379,3.58379,3.99532,4.02962,4.49259,4.73266,5.07560,5.07560,5.21278,5.46999,5.64146,5.64146,5.77864,5.48714,5.45284,5.45284,5.28137,5.04131,5.04131,4.76695,4.71551,4.71551,4.71551,4.71551,4.35541,4.33827,4.33827,4.56118,4.49259,4.49259,4.49259,4.49259,4.49259,4.49259,4.49259,4.49259,4.49259,4.49259,4.49259,4.74980,4.81839,4.81839,5.19563,5.22993,5.59002,6.07015,6.46453,6.48168,6.99610,7.28760,7.28760,7.32190,7.35619,7.28760,7.28760,7.08184,6.87607,6.87607,6.87607,6.73889,6.44739,6.51598,6.22447,6.10444,6.10444,5.86438,5.95011,6.37880,6.27591,5.96726,5.86438,5.41855,5.38425,5.55573
2021,Sans Souci 33_11kV,09MAY2020,MW,5.55573,5.38425,5.26422,5.17849,5.04131,4.66407,4.40686,4.20109,3.80670,3.80670,3.51520,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.39517,3.89244,4.04676,4.09821,4.45830,4.47545,4.86983,4.86983,5.22993,5.28137,5.31566,5.09275,5.76149,5.79579,5.74435,6.01870,5.86438,5.84723,5.74435,5.43570,5.40140,5.10990,5.10990,5.10990,5.10990,5.10990,5.10990,5.10990,5.53858,5.16134,4.92128,4.97272,5.29852,5.48714,5.09275,5.00701,5.59002,5.40140,5.40140,5.41855,5.72720,5.93297,6.19018,6.49883,6.77318,6.92751,7.27046,7.33905,7.33905,7.33905,7.33905,7.23616,6.91036,6.91036,6.51598,6.49883,6.49883,6.49883,6.31021,6.20732,6.20732,6.12159,5.64146,5.74435,6.24162,6.17303,5.95011,5.95011,5.57287,5.67576,5.69290
2021,Sans Souci 33_11kV,10MAY2020,MW,5.48714,5.59002,5.46999,5.26422,5.05845,4.93842,4.59548,4.23538,4.20109,3.82385,3.82385,3.48090,3.41231,3.41231,3.41231,3.41231,3.41231,3.41231,3.41231,3.41231,3.41231,3.41231,3.41231,3.41231,3.65238,3.82385,4.04676,4.14965,4.14965,4.33827,4.73266,4.95557,5.31566,5.45284,5.76149,5.93297,5.98441,5.89867,6.17303,5.86438,6.05300,6.08729,5.98441,6.12159,6.08729,5.74435,5.74435,5.46999,5.33281,5.33281,5.33281,5.16134,5.16134,5.16134,4.78410,4.76695,4.76695,4.76695,4.76695,4.76695,4.76695,5.04131,5.05845,5.40140,5.46999,5.77864,6.08729,6.49883,6.73889,7.27046,7.87061,8.16212,8.45362,8.45362,8.45362,8.45362,8.45362,8.21356,8.12782,8.09353,7.99064,8.19641,7.88776,7.80202,7.66484,7.59626,7.39049,7.09898,7.09898,7.18472,6.99610,6.61886,6.20732,5.91582,6.03585,6.08729
2021,Sans Souci 33_11kV,11MAY2020,MW,5.77864,5.77864,5.67576,5.55573,5.28137,5.07560,4.83554,4.45830,4.40686,4.04676,4.04676,3.99532,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,4.06391,4.45830,4.45830,4.54404,5.12704,5.55573,5.86438,6.20732,6.43024,6.56742,6.84177,6.48168,6.46453,6.46453,6.41309,6.05300,6.05300,5.83008,5.60717,5.22993,5.22993,5.22993,5.22993,5.22993,5.22993,5.14419,4.90413,4.90413,4.90413,4.90413,4.90413,4.86983,4.59548,4.59548,4.59548,4.81839,5.00701,5.00701,5.10990,5.26422,5.26422,5.57287,5.79579,6.03585,6.77318,7.25331,7.75058,8.47077,8.93374,9.43102,9.72252,9.73967,9.75682,9.75682,9.75682,9.75682,9.46531,9.27669,9.01948,9.01948,9.01948,8.72798,8.48791,8.24785,8.16212,7.80202,7.78488,7.56196,7.32190,6.97895,6.55027,6.07015,5.95011,6.05300
2021,Sans Souci 33_11kV,12MAY2020,MW,5.86438,6.01870,5.81294,5.74435,5.45284,5.10990,4.97272,4.62977,4.38971,4.21824,4.20109,3.80670,3.80670,3.80670,3.80670,3.80670,3.80670,3.80670,3.80670,3.80670,3.97817,4.02962,4.02962,4.38971,4.66407,5.04131,5.36711,5.72720,6.19018,6.55027,6.60171,6.80748,6.89322,6.89322,6.79033,6.60171,6.60171,6.49883,6.31021,6.05300,5.89867,5.72720,5.48714,5.48714,5.33281,5.07560,5.10990,5.17849,4.97272,4.97272,4.97272,4.97272,4.97272,4.74980,4.88698,4.57833,4.57833,4.57833,4.90413,4.98987,4.98987,5.22993,5.72720,5.81294,6.22447,6.25877,6.65315,7.16757,7.63055,8.29929,9.12237,9.32813,9.41387,9.72252,9.72252,9.68823,9.39672,9.39672,9.32813,9.10522,8.71083,8.69368,8.69368,8.52221,8.43647,8.16212,7.71629,7.40763,7.37334,7.39049,7.16757,6.80748,6.48168,6.32735,6.07015,6.01870
2021,Sans Souci 33_11kV,13MAY2020,MW,5.84723,5.84723,5.43570,5.43570,5.41855,5.10990,4.78410,4.52689,4.37256,4.37256,4.08106,3.96103,3.96103,3.96103,3.96103,3.96103,3.96103,3.96103,3.58379,3.89244,3.96103,4.32112,4.37256,4.37256,4.64692,4.78410,5.16134,5.64146,6.12159,6.25877,6.65315,6.67030,6.99610,7.08184,7.08184,7.08184,7.03039,6.67030,6.67030,6.32735,6.29306,6.29306,6.53312,6.58456,6.58456,6.37880,6.22447,6.00156,5.89867,5.89867,5.62432,5.72720,5.98441,5.72720,5.65861,5.71005,5.57287,5.57287,5.57287,5.57287,5.57287,5.60717,5.86438,6.20732,6.56742,7.03039,7.54481,8.09353,8.43647,9.03663,9.84255,10.21979,10.21979,10.56274,10.63133,10.30553,10.30553,10.18550,9.91114,9.60249,9.56820,9.34528,9.43102,9.31099,9.03663,8.79657,8.38503,8.00779,7.97350,8.07638,7.37334,7.16757,6.89322,6.43024,6.41309,6.46453
2021,Sans Souci 33_11kV,14MAY2020,MW,6.34450,6.27591,6.13873,5.81294,5.71005,5.31566,4.93842,4.93842,4.57833,4.52689,4.11535,4.11535,4.11535,3.87529,3.70382,3.70382,3.70382,3.70382,3.70382,3.70382,3.70382,3.90959,4.11535,4.35541,4.52689,4.81839,5.19563,5.65861,6.10444,6.15588,6.43024,6.87607,6.79033,6.70460,6.70460,6.70460,6.36165,6.03585,6.63601,6.75604,6.12159,5.98441,5.79579,5.69290,5.38425,5.38425,5.77864,5.69290,5.93297,5.74435,5.88152,5.67576,5.40140,5.14419,5.48714,5.48714,5.38425,5.22993,5.33281,6.07015,6.61886,6.70460,6.70460,6.79033,7.35619,7.61340,8.11067,8.69368,9.05378,9.61964,9.99688,10.25409,10.25409,10.59703,10.66562,10.54559,10.25409,10.08261,9.92829,9.55105,9.55105,9.39672,9.13951,8.93374,8.96804,8.81371,8.40218,8.04209,8.04209,7.93920,7.52767,7.13328,6.85892,6.34450,6.48168,6.61886
2021,Sans Souci 33_11kV,15MAY2020,MW,6.36165,6.13873,5.98441,5.93297,5.71005,5.40140,5.09275,4.83554,4.56118,4.56118,4.23538,4.14965,4.14965,4.14965,4.14965,3.75526,3.73811,3.73811,3.73811,3.73811,3.89244,4.14965,4.28683,4.56118,4.56118,4.81839,5.24707,5.65861,6.12159,6.41309,6.41309,6.75604,6.82463,6.82463,6.82463,6.82463,6.82463,6.82463,6.49883,6.48168,6.60171,6.70460,6.70460,6.70460,6.70460,6.70460,6.60171,6.46453,6.46453,6.55027,6.87607,7.21901,7.28760,7.18472,6.63601,6.17303,6.00156,6.05300,6.22447,6.22447,6.60171,7.04754,7.20187,7.28760,7.61340,7.69914,8.59080,9.49961,9.87685,10.01402,10.39127,10.71706,10.75136,10.75136,10.75136,10.47700,10.30553,10.33982,9.96258,9.85970,9.53390,9.53390,9.39672,9.46531,9.07092,8.81371,8.38503,8.12782,8.16212,8.50506,8.07638,7.59626,7.33905,6.92751,6.72174,6.61886
2021,Sans Souci 33_11kV,16MAY2020,MW,6.51598,6.36165,6.15588,6.10444,5.88152,5.43570,5.05845,4.86983,4.61262,4.35541,4.20109,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,4.04676,4.35541,4.64692,4.86983,5.17849,5.50428,5.59002,5.98441,6.39594,6.82463,6.82463,7.21901,7.23616,7.23616,6.91036,6.82463,6.96181,6.89322,6.65315,6.65315,6.25877,5.84723,5.83008,5.83008,5.83008,6.08729,6.00156,5.86438,5.86438,5.59002,5.57287,5.57287,5.57287,5.57287,5.86438,5.91582,6.22447,6.22447,6.22447,6.43024,6.63601,6.75604,7.04754,7.47622,7.87061,8.41933,9.10522,9.31099,9.51675,9.51675,9.51675,9.51675,9.27669,9.19095,8.91660,8.86516,8.86516,8.81371,8.50506,8.43647,8.31644,8.09353,8.02494,7.76773,7.76773,8.09353,7.75058,7.39049,7.16757,6.79033,6.85892,6.80748
2021,Sans Souci 33_11kV,17MAY2020,MW,6.60171,6.39594,6.34450,6.22447,5.98441,5.74435,5.28137,5.16134,4.88698,4.59548,4.33827,4.33827,4.20109,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,4.08106,4.33827,4.68121,4.74980,5.14419,5.53858,5.93297,5.95011,5.98441,6.27591,6.27591,6.44739,6.60171,6.60171,6.60171,6.37880,6.29306,6.29306,5.98441,6.01870,6.24162,5.96726,5.84723,6.08729,6.24162,6.24162,6.24162,5.98441,5.60717,5.59002,5.36711,5.59002,5.59002,5.59002,5.34996,5.55573,5.93297,6.08729,6.17303,6.51598,6.89322,7.08184,7.73343,8.17926,8.57365,9.10522,9.48246,9.48246,9.48246,9.48246,9.48246,9.37957,9.01948,8.77942,8.77942,8.72798,8.48791,8.47077,8.23071,8.11067,7.78488,7.71629,7.52767,7.51052,7.52767,6.92751,6.77318,6.37880,6.07015,6.13873,6.29306
2021,Sans Souci 33_11kV,18MAY2020,MW,5.91582,5.89867,5.62432,5.62432,5.43570,5.24707,4.93842,4.83554,4.52689,4.37256,4.01247,4.01247,4.01247,3.89244,3.60093,3.60093,3.60093,3.60093,3.60093,3.60093,3.60093,3.89244,4.01247,4.08106,4.49259,4.86983,5.24707,5.45284,6.07015,6.07015,6.19018,6.58456,6.77318,7.03039,7.09898,7.09898,7.09898,7.09898,7.04754,6.46453,6.19018,5.88152,6.07015,6.00156,5.88152,5.59002,5.55573,5.79579,5.96726,6.17303,6.29306,6.29306,6.36165,6.39594,6.39594,6.39594,6.39594,6.17303,6.00156,6.37880,6.39594,6.48168,6.72174,6.72174,7.11613,7.69914,8.11067,8.60795,9.01948,9.22525,9.60249,9.67108,9.91114,10.09976,10.09976,9.84255,9.43102,9.36243,9.12237,8.88230,8.79657,8.72798,8.50506,8.41933,8.17926,7.92205,7.64770,7.49337,7.33905,7.56196,6.91036,6.72174,6.36165,6.00156,5.95011,5.95011
2021,Sans Souci 33_11kV,19MAY2020,MW,5.95011,5.74435,5.60717,5.60717,5.52143,5.17849,4.86983,4.50974,4.44115,4.04676,4.04676,4.04676,4.04676,3.78955,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,3.63523,3.89244,4.40686,4.45830,4.56118,4.98987,5.33281,5.55573,5.64146,5.84723,6.19018,6.25877,6.10444,6.03585,6.03585,5.83008,5.62432,5.62432,5.62432,5.31566,5.14419,4.80124,4.80124,4.64692,4.50974,4.50974,4.50974,4.50974,4.50974,4.66407,4.83554,4.64692,4.62977,4.56118,4.44115,4.44115,4.59548,4.76695,4.76695,4.76695,5.00701,5.17849,5.22993,5.59002,5.88152,6.34450,6.97895,7.52767,8.12782,8.59080,8.86516,9.15666,9.12237,9.07092,8.84801,8.84801,8.64224,8.38503,8.28215,8.28215,7.87061,8.04209,7.78488,7.63055,7.37334,7.33905,7.01325,7.06469,7.21901,7.01325,6.68745,6.25877,5.91582,5.96726,6.07015
2021,Sans Souci 33_11kV,20MAY2020,MW,6.07015,5.84723,5.77864,5.48714,5.38425,5.00701,4.62977,4.40686,4.18394,4.18394,3.80670,3.77241,3.77241,3.77241,3.77241,3.77241,3.77241,3.77241,3.77241,3.77241,3.82385,4.18394,4.18394,4.18394,4.49259,5.00701,5.14419,5.50428,5.55573,5.59002,5.96726,5.96726,6.12159,6.17303,6.19018,6.27591,6.27591,6.08729,5.84723,5.53858,5.40140,5.12704,5.07560,4.83554,4.83554,5.04131,4.81839,4.80124,4.93842,4.93842,4.93842,4.71551,4.64692,4.74980,5.05845,5.05845,4.88698,4.76695,4.93842,4.74980,4.69836,4.69836,4.97272,5.33281,5.52143,5.67576,6.12159,6.75604,7.04754,7.61340,7.93920,8.47077,8.47077,8.47077,8.47077,8.47077,8.11067,8.09353,7.78488,7.57911,7.37334,7.54481,7.54481,7.18472,7.18472,6.97895,6.87607,6.49883,6.63601,6.73889,6.55027,6.20732,5.89867,5.52143,5.65861,5.69290
2021,Sans Souci 33_11kV,21MAY2020,MW,5.48714,5.40140,5.17849,5.17849,4.93842,4.74980,4.40686,4.09821,4.02962,3.68667,3.68667,3.68667,3.68667,3.68667,3.49805,3.27513,3.27513,3.27513,3.27513,3.27513,3.58379,3.68667,3.75526,4.09821,4.23538,4.52689,4.64692,5.00701,5.26422,5.26422,5.52143,5.95011,6.01870,6.01870,6.01870,6.12159,5.83008,5.83008,5.83008,5.83008,5.83008,6.07015,6.12159,6.12159,6.12159,6.12159,6.12159,6.25877,6.46453,6.46453,6.46453,6.46453,6.20732,6.19018,6.19018,5.89867,5.86438,5.57287,5.57287,5.57287,5.57287,5.57287,5.57287,5.71005,5.81294,6.46453,6.96181,7.52767,7.97350,8.35074,8.88230,9.10522,9.29384,9.29384,9.60249,9.60249,9.41387,9.36243,9.25954,9.03663,8.91660,8.98519,8.84801,8.62509,8.12782,8.11067,7.97350,7.49337,7.57911,7.90491,7.39049,7.21901,6.73889,6.27591,6.37880,6.56742
2021,Sans Souci 33_11kV,22MAY2020,MW,6.19018,6.19018,6.07015,6.03585,5.67576,5.33281,5.09275,4.92128,4.61262,4.50974,4.37256,4.09821,4.09821,4.09821,4.09821,4.09821,4.09821,4.09821,4.09821,4.09821,4.14965,4.32112,4.32112,4.32112,4.69836,5.07560,5.45284,5.88152,6.31021,6.60171,7.06469,7.39049,7.51052,7.66484,7.66484,7.66484,7.66484,7.59626,7.28760,7.04754,7.21901,7.28760,7.28760,7.04754,7.08184,7.32190,7.32190,7.32190,7.32190,7.32190,7.32190,7.32190,7.35619,7.64770,7.64770,7.88776,7.66484,7.52767,7.52767,7.66484,7.76773,7.76773,8.05923,8.31644,8.62509,8.95089,9.36243,9.68823,10.16835,10.33982,10.85424,11.23148,11.45440,11.52299,11.40296,11.54013,11.21434,10.80280,10.61418,10.42556,10.42556,10.40841,10.15120,9.99688,9.72252,9.46531,9.24240,8.60795,8.65939,8.84801,8.45362,8.14497,7.75058,7.40763,7.33905,7.20187
2021,Sans Souci 33_11kV,23MAY2020,MW,7.11613,6.77318,6.53312,6.41309,6.19018,5.81294,5.53858,5.29852,4.95557,4.66407,4.54404,4.54404,4.33827,4.13250,4.13250,4.13250,4.13250,4.13250,4.13250,4.13250,4.13250,4.13250,4.13250,4.20109,4.45830,4.45830,4.74980,5.02416,5.28137,5.43570,6.01870,6.43024,6.44739,6.87607,6.68745,6.82463,6.97895,6.97895,6.70460,6.55027,6.60171,6.99610,7.01325,7.01325,7.28760,7.03039,7.51052,7.57911,7.57911,7.57911,7.57911,7.57911,7.54481,7.61340,7.25331,7.25331,7.47622,7.49337,7.56196,7.90491,8.07638,8.14497,8.14497,8.43647,8.55650,8.79657,9.32813,10.06547,10.30553,10.49415,10.64848,10.92283,10.92283,10.92283,10.71706,10.59703,10.59703,10.23694,10.04832,9.79111,9.79111,9.79111,9.68823,9.49961,9.27669,8.89945,8.60795,8.33359,8.35074,8.64224,8.28215,7.90491,7.51052,7.32190,7.18472,7.15043
2021,Sans Souci 33_11kV,24MAY2020,MW,6.92751,6.91036,6.58456,6.36165,6.15588,5.89867,5.41855,5.17849,5.07560,4.76695,4.45830,4.35541,4.35541,4.35541,3.97817,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,3.94388,4.26968,4.35541,4.35541,4.35541,4.59548,4.90413,5.17849,5.52143,6.00156,6.41309,6.70460,6.82463,7.13328,7.52767,7.52767,7.52767,7.80202,7.57911,7.80202,7.92205,8.00779,7.83632,7.83632,7.83632,7.69914,7.49337,7.49337,7.42478,7.51052,7.30475,7.30475,7.30475,6.99610,7.21901,7.21901,7.21901,7.21901,7.21901,7.21901,7.59626,7.95635,8.04209,8.60795,9.00233,9.60249,10.18550,10.49415,10.93998,10.87139,10.87139,10.87139,10.87139,10.56274,10.54559,10.33982,10.04832,9.72252,9.67108,9.75682,9.56820,9.24240,8.98519,8.86516,8.48791,8.48791,8.41933,7.88776,7.52767,7.32190,6.72174,6.68745,6.61886
2021,Sans Souci 33_11kV,25MAY2020,MW,6.49883,6.36165,6.20732,5.88152,5.74435,5.45284,5.07560,4.88698,4.62977,4.50974,4.21824,4.21824,4.21824,4.06391,3.80670,3.80670,3.80670,3.80670,3.80670,3.80670,4.01247,4.21824,4.21824,4.35541,4.62977,4.90413,5.28137,5.72720,6.29306,6.77318,6.97895,7.37334,7.71629,7.71629,7.66484,7.32190,7.32190,7.32190,7.23616,7.32190,7.32190,7.03039,6.99610,6.97895,6.89322,6.80748,6.89322,6.99610,6.96181,7.11613,7.11613,7.11613,7.11613,7.37334,7.23616,7.11613,7.27046,7.42478,7.42478,7.42478,7.56196,7.80202,7.97350,8.24785,8.72798,9.63678,9.94544,10.61418,11.14575,11.40296,11.60872,12.00311,12.20888,12.26032,12.05455,12.03741,12.03741,11.67731,11.21434,11.19719,10.80280,10.80280,10.59703,10.54559,10.15120,9.84255,9.29384,8.88230,8.81371,8.69368,8.17926,7.88776,7.32190,6.92751,6.84177,6.91036
2021,Sans Souci 33_11kV,26MAY2020,MW,6.58456,6.48168,6.32735,6.32735,6.07015,5.74435,5.55573,5.14419,4.74980,4.74980,4.38971,4.33827,4.33827,4.20109,3.92673,3.92673,3.92673,3.92673,3.92673,3.92673,4.14965,4.33827,4.50974,4.74980,4.98987,5.33281,5.88152,6.24162,6.49883,6.97895,7.18472,7.42478,7.42478,7.21901,7.13328,7.08184,6.85892,6.58456,6.36165,6.19018,5.98441,6.08729,5.96726,5.79579,5.57287,5.57287,5.57287,5.57287,5.57287,5.57287,5.57287,5.57287,5.57287,5.40140,5.28137,5.65861,5.48714,5.53858,5.93297,5.93297,5.93297,6.31021,6.68745,6.75604,7.15043,7.63055,8.00779,8.64224,9.13951,9.65393,10.01402,10.75136,10.47700,10.47700,10.75136,10.76851,10.40841,10.28838,9.89399,9.60249,9.36243,9.31099,9.31099,9.10522,8.79657,8.81371,8.50506,8.21356,8.11067,8.14497,7.78488,7.35619,6.96181,6.32735,6.37880,6.37880
